Seed	Label	Precision	Recall	F1
2	0	0.7843	0.7018	0.7407
2	1	0.7021	0.7021	0.7021
2	2	0.6792	0.8571	0.7579
2	3	0.7500	0.6923	0.7200
2	4	0.8182	0.7500	0.7826
2	5	1.0000	0.7273	0.8421
4	0	0.8235	0.7368	0.7778
4	1	0.6842	0.8298	0.7500
4	2	0.7381	0.7381	0.7381
4	3	0.8333	0.7692	0.8000
4	4	1.0000	0.8333	0.9091
4	5	0.9000	0.8182	0.8571
6	0	0.7458	0.7719	0.7586
6	1	0.7600	0.8085	0.7835
6	2	0.7857	0.7857	0.7857
6	3	0.8182	0.6923	0.7500
6	4	1.0000	0.8333	0.9091
6	5	0.8000	0.7273	0.7619
8	0	0.7258	0.7895	0.7563
8	1	0.6939	0.7234	0.7083
8	2	0.7692	0.7143	0.7407
8	3	0.7500	0.6923	0.7200
8	4	0.8889	0.6667	0.7619
8	5	0.9091	0.9091	0.9091
10	0	0.7313	0.8596	0.7903
10	1	0.8108	0.6383	0.7143
10	2	0.8684	0.7857	0.8250
10	3	0.8667	1.0000	0.9286
10	4	0.9231	1.0000	0.9600
10	5	0.8333	0.9091	0.8696
12	0	0.7818	0.7544	0.7679
12	1	0.7447	0.7447	0.7447
12	2	0.7209	0.7381	0.7294
12	3	0.6667	0.7692	0.7143
12	4	0.8889	0.6667	0.7619
12	5	0.8462	1.0000	0.9167
14	0	0.8571	0.6316	0.7273
14	1	0.7292	0.7447	0.7368
14	2	0.6000	0.7857	0.6804
14	3	0.9231	0.9231	0.9231
14	4	0.8462	0.9167	0.8800
14	5	0.9091	0.9091	0.9091
16	0	0.7593	0.7193	0.7387
16	1	0.7561	0.6596	0.7045
16	2	0.6800	0.8095	0.7391
16	3	0.8333	0.7692	0.8000
16	4	0.7857	0.9167	0.8462
16	5	0.9091	0.9091	0.9091
18	0	0.8148	0.7719	0.7928
18	1	0.6512	0.5957	0.6222
18	2	0.6042	0.6905	0.6444
18	3	0.8462	0.8462	0.8462
18	4	0.7333	0.9167	0.8148
18	5	0.8889	0.7273	0.8000
20	0	0.7736	0.7193	0.7455
20	1	0.7174	0.7021	0.7097
20	2	0.6000	0.7143	0.6522
20	3	0.7273	0.6154	0.6667
20	4	0.9091	0.8333	0.8696
20	5	0.7273	0.7273	0.7273
22	0	0.7407	0.7018	0.7207
22	1	0.6800	0.7234	0.7010
22	2	0.6905	0.6905	0.6905
22	3	0.9231	0.9231	0.9231
22	4	0.5833	0.5833	0.5833
22	5	0.8182	0.8182	0.8182
24	0	0.8103	0.8246	0.8174
24	1	0.7500	0.7021	0.7253
24	2	0.7907	0.8095	0.8000
24	3	0.7500	0.6923	0.7200
24	4	0.9091	0.8333	0.8696
24	5	0.7143	0.9091	0.8000
26	0	0.7647	0.6842	0.7222
26	1	0.7647	0.8298	0.7959
26	2	0.7907	0.8095	0.8000
26	3	0.9091	0.7692	0.8333
26	4	0.6875	0.9167	0.7857
26	5	0.9000	0.8182	0.8571
28	0	0.8627	0.7719	0.8148
28	1	0.6667	0.6809	0.6737
28	2	0.6591	0.6905	0.6744
28	3	0.7000	0.5385	0.6087
28	4	0.6250	0.8333	0.7143
28	5	0.8462	1.0000	0.9167
30	0	0.7966	0.8246	0.8103
30	1	0.7400	0.7872	0.7629
30	2	0.7179	0.6667	0.6914
30	3	0.8000	0.9231	0.8571
30	4	0.8182	0.7500	0.7826
30	5	1.0000	0.7273	0.8421
32	0	0.7857	0.7719	0.7788
32	1	0.6585	0.5745	0.6136
32	2	0.7273	0.7619	0.7442
32	3	0.7333	0.8462	0.7857
32	4	0.7059	1.0000	0.8276
32	5	0.6667	0.5455	0.6000
34	0	0.8545	0.8246	0.8393
34	1	0.7170	0.8085	0.7600
34	2	0.8056	0.6905	0.7436
34	3	0.7333	0.8462	0.7857
34	4	0.9167	0.9167	0.9167
34	5	0.9091	0.9091	0.9091
36	0	0.7959	0.6842	0.7358
36	1	0.6786	0.8085	0.7379
36	2	0.6410	0.5952	0.6173
36	3	0.6250	0.7692	0.6897
36	4	0.6667	0.8333	0.7407
36	5	1.0000	0.6364	0.7778
38	0	0.6567	0.7719	0.7097
38	1	0.6444	0.6170	0.6304
38	2	0.7179	0.6667	0.6914
38	3	0.9091	0.7692	0.8333
38	4	0.8462	0.9167	0.8800
38	5	1.0000	0.6364	0.7778
40	0	0.7736	0.7193	0.7455
40	1	0.6522	0.6383	0.6452
40	2	0.6809	0.7619	0.7191
40	3	0.8182	0.6923	0.7500
40	4	0.9091	0.8333	0.8696
40	5	0.7857	1.0000	0.8800
